Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Dave Hoffmann,HoffDa20,http://www.pro-football-reference.com/players/H/HoffDa20.htm,http://www.sports-reference.com/cfb/players/dave-hoffmann-1.html
Greg Jeffries,JeffGr21,http://www.pro-football-reference.com/players/J/JeffGr21.htm,
Tom Scott,ScotTo20,http://www.pro-football-reference.com/players/S/ScotTo20.htm,
Deral Boykin,BoykDe20,http://www.pro-football-reference.com/players/B/BoykDe20.htm,http://www.sports-reference.com/cfb/players/deral-boykin-1.html
Scott Davis,DaviSc21,http://www.pro-football-reference.com/players/D/DaviSc21.htm,
Mitch Lyons,LyonMi00,http://www.pro-football-reference.com/players/L/LyonMi00.htm,http://www.sports-reference.com/cfb/players/mitch-lyons-1.html
Paul Hutchins,HutcPa20,http://www.pro-football-reference.com/players/H/HutcPa20.htm,
Rich McKenzie,McKeRi20,http://www.pro-football-reference.com/players/M/McKeRi20.htm,
Melvin Bonner,BonnMe20,http://www.pro-football-reference.com/players/B/BonnMe20.htm,http://www.sports-reference.com/cfb/players/melvin-bonner-1.html
Darryl Morrison,MorrDa20,http://www.pro-football-reference.com/players/M/MorrDa20.htm,
Tim Watson,WatsTi20,http://www.pro-football-reference.com/players/W/WatsTi20.htm,
Carlos Etheredge,EtheCa20,http://www.pro-football-reference.com/players/E/EtheCa20.htm,http://www.sports-reference.com/cfb/players/carlos-etheredge-1.html
Chuck Bradley,BradCh20,http://www.pro-football-reference.com/players/B/BradCh20.htm,
Darius Turner,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/darius-turner-1.html
Frank Wycheck,WychFr00,http://www.pro-football-reference.com/players/W/WychFr00.htm,http://www.sports-reference.com/cfb/players/frank-wycheck-1.html
Eric Castle,CastEr20,http://www.pro-football-reference.com/players/C/CastEr20.htm,
Willie Williams,WillWi21,http://www.pro-football-reference.com/players/W/WillWi21.htm,
Derrick Oden,OdenDe20,http://www.pro-football-reference.com/players/O/OdenDe20.htm,
Robert O'Neal,ONeaRo20,http://www.pro-football-reference.com/players/O/ONeaRo20.htm,
Ronnie Dixon,DixoRo20,http://www.pro-football-reference.com/players/D/DixoRo20.htm,
Chris Dalman,DalmCh20,http://www.pro-football-reference.com/players/D/DalmCh20.htm,
Corbin Lacina,LaciCo20,http://www.pro-football-reference.com/players/L/LaciCo20.htm,
Barry Minter,MintBa20,http://www.pro-football-reference.com/players/M/MintBa20.htm,
Player,,http://www.pro-football-reference.com,
Clarence Williams,WillCl21,http://www.pro-football-reference.com/players/W/WillCl21.htm,http://www.sports-reference.com/cfb/players/clarence-williams-2.html
Michael McCrary,McCrMi00,http://www.pro-football-reference.com/players/M/McCrMi00.htm,
Alec Millen,,http://www.pro-football-reference.com,
Will White,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/will-white-1.html
Keshon Johnson,JohnKe27,http://www.pro-football-reference.com/players/J/JohnKe27.htm,
Ty Hallock,HallTy00,http://www.pro-football-reference.com/players/H/HallTy00.htm,http://www.sports-reference.com/cfb/players/ty-hallock-1.html
Lance Gunn,GunnLa20,http://www.pro-football-reference.com/players/G/GunnLa20.htm,
Tyree Davis,DaviTy20,http://www.pro-football-reference.com/players/D/DaviTy20.htm,
Todd Peterson,petertod01,http://www.pro-football-reference.com/players/P/petertod01.htm,
Darnell Walker,WalkDa20,http://www.pro-football-reference.com/players/W/WalkDa20.htm,
Brad Fichtel,FichBr20,http://www.pro-football-reference.com/players/F/FichBr20.htm,
Travis Hill,HillTr20,http://www.pro-football-reference.com/players/H/HillTr20.htm,
Greg Biekert,BiekGr20,http://www.pro-football-reference.com/players/B/BiekGr20.htm,
Tony Kimbrough,KimbTo00,http://www.pro-football-reference.com/players/K/KimbTo00.htm,
Bob Kuberski,KubeBo20,http://www.pro-football-reference.com/players/K/KubeBo20.htm,
Lance Lewis,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/lance-lewis-2.html
Jeff Zgonina,ZgonJe20,http://www.pro-football-reference.com/players/Z/ZgonJe20.htm,http://www.sports-reference.com/cfb/players/jeff-zgonina-1.html
Danan Hughes,HughDa00,http://www.pro-football-reference.com/players/H/HughDa00.htm,http://www.sports-reference.com/cfb/players/danan-hughes-1.html
Patrick Robinson,RobiPa20,http://www.pro-football-reference.com/players/R/RobiPa20.htm,
Doug Miller,MillDo23,http://www.pro-football-reference.com/players/M/MillDo23.htm,
Craig Keith,KeitCr20,http://www.pro-football-reference.com/players/K/KeitCr20.htm,
Joey Mickey,MickJo20,http://www.pro-football-reference.com/players/M/MickJo20.htm,http://www.sports-reference.com/cfb/players/joey-mickey-1.html
David Merritt,MerrDa20,http://www.pro-football-reference.com/players/M/MerrDa20.htm,
Gino Torretta,ToreGi00,http://www.pro-football-reference.com/players/T/ToreGi00.htm,http://www.sports-reference.com/cfb/players/gino-torretta-1.html
Othello Henderson,HendOt20,http://www.pro-football-reference.com/players/H/HendOt20.htm,
Troy Wilson,WilsTr21,http://www.pro-football-reference.com/players/W/WilsTr21.htm,
Willie Harris,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/willie-harris-3.html
Brock Marion,MariBr00,http://www.pro-football-reference.com/players/M/MariBr00.htm,
Player,,http://www.pro-football-reference.com,
Jeff Blackshear,BlacJe20,http://www.pro-football-reference.com/players/B/BlacJe20.htm,
Troy Brown,BrowTr00,http://www.pro-football-reference.com/players/B/BrowTr00.htm,
Chad Brown,BrowCh20,http://www.pro-football-reference.com/players/B/BrowCh20.htm,
Craig Hentrich,hentrcra01,http://www.pro-football-reference.com/players/H/hentrcra01.htm,http://www.sports-reference.com/cfb/players/craig-hentrich-1.html
